State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
CA,REP,CHALLENGER,"COSON FOR UNITED STATES US SENATE 2018","COSON, GARY LYNN",NOVATO,534,372,00,C00661819
FL,DEM,CHALLENGER,"LYLES FOR SENATE CAMPAIGN","LYLES, TAMIKA",KISSIMMEE,6344,3928,00,C00632208
NJ,DEM,CHALLENGER,"HORN FOR SENATE","HORN, MITCHELL",SUMMIT,5500,5500,00,C00669895
MT,DEM,CHALLENGER,"GREG STRANDBERG (COMMITTEE)","STRANDBERG, GREG",MISSOULA,.6,0,00,C00657817
CA,DEM,CHALLENGER,"DAVID FOR CALIFORNIA","HILDEBRAND, DAVID",SACRAMENTO,29546,28971,00,C00634972
MT,REP,CHALLENGER,"MATT ROSENDALE FOR MONTANA","ROSENDALE, MATT",HELENA,2055983,1423032.5,00,C00548289
CA,REP,CHALLENGER,"COMMITTEE TO ELECT TOM PALZER US SENATE","PALZER, THOMAS EDWARD","RANCHO CUCAMONGA",11.1,157.1,00,C00674762
MI,REP,CHALLENGER,"ELECT BOB CARR US SENATOR COMMITTEE","CARR, BOB","MACKINAC ISLAND",4042,4039,00,C00655217
IN,REP,CHALLENGER,"HORNING FOR SENATE COMMITTEE","HORNING, ANDY",FREEDOM,1217,1217,00,C00664631
MN,REP,CHALLENGER,BOBFORSENATE,"ANDERSON, BOB",HASTINGS,11559,10931,00,C00668624
MN,DEM,CHALLENGER,"LEONARD FOR MINNESOTA","LEONARD, NICK",MINNEAPOLIS,2775,2499,00,C00671297
MO,REP,CHALLENGER,"CITIZENS FOR MONETTI","MONETTI, RAFFAELE ANTONIO",WARRENSBURG,523344,491282,00,C00635599
WA,DEM,INCUMBENT,"FRIENDS OF MARIA","CANTWELL, MARIA",SEATTLE,7480742,3129766,00,C00349506
AZ,REP,OPEN,"TUTORA FOR SENATE","TUTORA, NICHOLAS",PHOENIX,7520,6464,00,C00655209
AZ,DEM,OPEN,"SINEMA FOR ARIZONA","SINEMA, KYRSTEN",PHOENIX,9563041.22,6446752.43,00,C00508804
NJ,IND,CHALLENGER,"COMMITTEE TO ELECT TRICIA FLANAGAN US SENATE","FLANAGAN, PATRICIA",LAWRENCEVILLE,7710,0,00,C00674564
NY,DEM,CHALLENGER,"DR SCOTT NOREN FOR US SENATE","NOREN, SCOTT ANDREW",ITHACA,21960,16809,00,C00663674
WV,DEM,INCUMBENT,"MANCHIN FOR WEST VIRGINIA","MANCHIN III, JOE",FAIRMONT,6268249,1660841,00,C00486563
CT,DEM,INCUMBENT,"FRIENDS OF CHRIS MURPHY","MURPHY, CHRISTOPHER S MR",CHESHIRE,10803022,3456762,00,C00492645
IN,DEM,INCUMBENT,"DONNELLY FOR INDIANA","DONNELLY, JOSEPH S",INDIANAPOLIS,8878947,3876384,00,C00393652
ME,IND,INCUMBENT,"ANGUS KING FOR US SENATE CAMPAIGN","KING, ANGUS STANLEY JR",BRUNSWICK,4134381,1759579,00,C00516047
MT,DEM,INCUMBENT,"MONTANANS FOR TESTER","TESTER, JON","BIG SANDY",11748776,7201122,00,C00412304
AZ,DEM,OPEN,"COMMITTEE TO ELECT D CHRIS RUSSELL; THE","RUSSELL, DALE CHRISTOPHER","SIERRA VISTA",13567,17563,00,C00646638
DE,DEM,CHALLENGER,"KERRI EVELYN HARRIS FOR DELAWARE","HARRIS, KERRI EVELYN",DOVER,52825,37367,00,C00670091
DE,REP,CHALLENGER,"ARLETT FOR SENATE","ARLETT, ROB",DAGSBORO,49195,22475,00,C00676932
FL,REP,CHALLENGER,"RICK SCOTT FOR FLORIDA","SCOTT, RICK",TALLAHASSEE,22539009,18024244,00,C00676965
IN,REP,CHALLENGER,"HOOSIERS FOR ROKITA, INC.","ROKITA, THEODORE EDWARD",INDIANAPOLIS,2923896.99,3656400.38,00,C00476192
MA,REP,CHALLENGER,"BETH LINDSTROM FOR US SENATE INC","LINDSTROM, BETH",WOBURN,1277658,1198454,00,C00653600
MD,DEM,CHALLENGER,"ERIK JETMIR FOR SENATE","JETMIR, ERIK",BOWIE,5498,5498,00,C00668616
MD,REP,CHALLENGER,"CAMPBELL 4 MARYLAND","CAMPBELL, ANTONO WADE",BALTIMORE,42296,35871,00,C00665430
ME,REP,CHALLENGER,"MAX LINN FOR U.S. SENATE","LINN, MAX",ELLSWORTH,249886,249886,00,C00668418
NE,REP,CHALLENGER,"DENNIS FRANK MACEK FOR US SENATE","MACEK, DENNIS FRANK",LINCOLN,28600,28634,00,C00672659
MS,REP,OPEN,"CINDY HYDE-SMITH FOR US SENATE","HYDE-SMITH, CINDY",BROOKHAVEN,1654032,264232,00,C00675348
MT,REP,CHALLENGER,"AL OLSZEWSKI FOR US SENATE","OLSZEWSKI, ALBERT DAVID",KALISPELL,325867,307718,00,C00639476
MT,REP,CHALLENGER,"RUSS FAGG SENATE COMMITTEE","FAGG, RUSSELL C",BILLINGS,1169143,1153462,00,C00658856
MI,DEM,INCUMBENT,"STABENOW FOR US SENATE","STABENOW, DEBBIE",LANSING,10903896,7833670,00,C00344473
MI,REP,CHALLENGER,"PENSLER FOR SENATE","PENSLER, SANDY","GROSSE POINTE PARK",5220495,3975327,00,C00663278
NY,DEM,INCUMBENT,"GILLIBRAND FOR SENATE","GILLIBRAND, KIRSTEN ELIZABETH",BRUNSWICK,15726412,7271099,00,C00413914
MA,DEM,INCUMBENT,"ELIZABETH FOR MA INC","WARREN, ELIZABETH",CAMBRIDGE,20656072,9873958,00,C00500843
NE,REP,INCUMBENT,"DEB FISCHER FOR US SENATE INC","FISCHER, DEBRA S",LINCOLN,3667944,1934516,00,C00498907
NV,REP,INCUMBENT,"HELLER FOR SENATE","HELLER, DEAN","LAS VEGAS",8310649,3802116,00,C00494229
MS,REP,OPEN,"FRIENDS OF CHRIS MCDANIEL","MCDANIEL, CHRISTOPHER BRIAN",LAUREL,327263,171208,00,C00673285
AZ,REP,OPEN,"KELLI WARD FOR SENATE INC","WARD, KELLI","LAKE HAVASU",2659996,2348585,00,C00581843
CA,DEM,CHALLENGER,"DOUGLAS HOWARD PIERCE FOR US SENATE","PIERCE, DOUGLAS HOWARD","BEVERLY HILLS",54104,128696,00,C00610022
NJ,LIB,CHALLENGER,"SABRIN FOR US SENATE","SABRIN, MURRAY","FORT LEE",18881,7325,00,C00676106
NJ,REP,CHALLENGER,"BOB HUGIN FOR SENATE INC","HUGIN, ROBERT",SOMERVILLE,16720776,8606770,00,C00671305
VT,IND,INCUMBENT,"FRIENDS OF BERNIE SANDERS","SANDERS, BERNARD",BURLINGTON,7494421,3274814,00,C00411330
MN,DEM,INCUMBENT,"KLOBUCHAR FOR MINNESOTA ","KLOBUCHAR, AMY","ST PAUL",7124950,3408248,00,C00431353
CA,DEM,CHALLENGER,"ALISON HARTSON 2018","HARTSON, ALISON","FOUNTAIN VALLEY",422343,406760,00,C00660498
DE,REP,CHALLENGER,"COMMITTEE TO ELECT CHUCK BOYCE","BOYCE, HENRY CHARLES  'CHUCK'  JR",MIDDLETOWN,381647,377777,00,C00633693
