State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
CA,REP,CHALLENGER,"TAYLOR FOR US SENATE","TAYLOR, PAUL ALLEN MR",HAYWARD,9973,9972,00,C00669101
CT,REP,CHALLENGER,"DOMINIC FOR US SENATE","RAPINI, DOMINIC",FAIRFIELD,173255,143596,00,C00647792
WI,REP,CHALLENGER,"NICHOLSON FOR SENATE","NICHOLSON, KEVIN",HARTLAND,3516391,3134989,00,C00652131
WI,REP,CHALLENGER,"GRIFFIN JONES FOR US SENATE","JONES, GRIFFIN GILBERT",MADISON,9938,9806,00,C00664227
FL,REP,CHALLENGER,"LATERESA JONES FOR US SENATE","JONES, LATERESA ANN",HAVANA,200,115,00,C00552711
MN,REP,CHALLENGER,"JIM NEWBERGER FOR UNITED STATES SENATE","NEWBERGER, JAMES WALLACE",BECKER,107098,107343,00,C00653022
PA,LIB,CHALLENGER,"DALE KERNS FOR OFFICE","KERNS JR, DALE RONALD",SWARTHMORE,27190,21327,00,C00634865
TX,REP,CHALLENGER,"COMMITTEE TO ELECT STEFANO DE STEFANO","DE STEFANO, STEFANO",HOUSTON,595325,595324,00,C00641332
WA,REP,CHALLENGER,"GIBSON FOR FREEDOM COMMITTEE","GIBSON, JOSEPH",VANCOUVER,8528,6422,00,C00683425
DE,REP,CHALLENGER,"CAMPAIGN TO ELECT GENE TRUONO","TRUONO, EUGENE (GENE) J JR",WILMINGTON,184608,174914,00,C00661801
IN,REP,CHALLENGER,"MARK HURT FOR US SENATE 2018","HURT, MARK",KOKOMO,130668,129670,00,C00632026
MD,DEM,CHALLENGER,"SEGAL FOR SENATE","SEGAL, JEROME","TAKOMA PARK",1576632,1555109,00,C00658765
MD,REP,CHALLENGER,"GRIGORIAN FOR SENATE","GRIGORIAN, CHRISTINA","GLEN ECHO",24833,23460,00,C00672832
ME,DEM,CHALLENGER,"RINGELSTEIN FOR MAINE","RINGELSTEIN, ZACKARY (ZAK)",PORTLAND,212793,189317,00,C00656520
MI,REP,CHALLENGER,"BOB YOUNG FOR SENATE","YOUNG, BOB",LANSING,291065,291065,00,C00648642
MT,REP,CHALLENGER,"TROY DOWNING FOR US SENATE","DOWNING, TROY",BOZEMAN,1495097,1484704,00,C00640052
NM,REP,CHALLENGER,"MICK RICH FOR US SENATE","RICH, MICK",ALBUQUERQUE,689280,491078,00,C00633255
NY,REP,CHALLENGER,"CHELE FARLEY FOR SENATE INC","FARLEY, CHELE CHIAVACCI","NEW YORK",855097,390899,00,C00669093
TX,DEM,CHALLENGER,"BETO FOR TEXAS","O'ROURKE, ROBERT (BETO)","EL PASO",23647799,10085140,00,C00501197
VA,REP,CHALLENGER,"IVAN RAIKLIN FOR US SENATE ","RAIKLIN, IVAN ERIC",ANNANDALE,68411,62483,00,C00653790
