State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
MD,DEM,OPEN,"CHRIS GRAVES FOR CONGRESS","GRAVES, CHRISTOPHER","MONTGOMERY VILLAGE",121093,95248.54,06,C00668806
MD,DEM,CHALLENGER,"JOHN MOSER COMMITTEE TO ELECT","MOSER, JOHN",BALTIMORE,8925,8687.73,07,C00651810
ME,DEM,INCUMBENT,"PINGREE FOR CONGRESS","PINGREE, CHELLIE M","NORTH HAVEN",398999.58,246404.02,01,C00433391
ME,DEM,CHALLENGER,"COMMITTEE TO ELECT JARED GOLDEN","GOLDEN, JARED",LEWISTON,1179517.22,822610.96,02,C00653816
CA,REP,CHALLENGER,"JEFFREY BURUM FOR CONGRESS","BURUM, JEFFREY DAVID MAJ (RET)",OXNARD,38244.27,38244.27,26,C00653949
MN,DFL,CHALLENGER,"ALICIA DONAHUE FOR US CONGRESS","DONAHUE, ALICIA",PLYMOUTH,1771.25,1590.11,03,C00640102
WA,DEM,OPEN,"MONA DAS FOR CONGRESS","DAS, MONA",SEATTLE,91647.69,91647.69,08,C00649228
NV,REP,OPEN,"THE COMMITTEE TO ELECT LYNDA TACHE","TACHE, LYNDA","LAS VEGAS",51459.35,51459.35,03,C00651992
NE,DEM,CHALLENGER,"CRAWFORD FOR CONGRESS","CRAWFORD, DENNIS P",LINCOLN,23066,22958,01,C00648600
PA,DEM,CHALLENGER,"FRIENDS OF SHIRA GOODMAN","GOODMAN, SHIRA MS.",DRESHER,303110.16,302711.91,04,C00667840
PA,DEM,CHALLENGER,"DINICOLA FOR CONGRESS","DINICOLA, RONALD A.",ERIE,560686.43,217763.52,16,C00673350
NY,DEM,CHALLENGER,"PERRY GERSHON FOR CONGRESS","GERSHON, PERRY","EAST HAMPTON",2202175.52,2128208.76,01,C00650457
NY,DEM,CHALLENGER,"PECHEFSKY FOR CONGRESS","PECHEFSKY, DAVID","PORT JEFFERSON",289392.9,270598.43,01,C00651372
CA,DEM,INCUMBENT,"MATSUI FOR CONGRESS","MATSUI, DORIS",SACRAMENTO,831650.28,770089.12,06,C00409219
CA,DEM,INCUMBENT,"JIMMY PANETTA FOR CONGRESS","PANETTA, JIMMY","CARMEL VALLEY",884130.62,418268.75,20,C00592154
VA,DEM,OPEN,"COPPOLA CAMPAIGN COMMITTEE","COPPOLA, SERGIO MR. II",HINTON,5425.97,5425.97,06,C00657007
CA,DEM,INCUMBENT,"SHERMAN FOR CONGRESS","SHERMAN, BRAD","SHERMAN OAKS",972184,435890.85,30,C00308742
NY,DEM,CHALLENGER,"ZACH EMIG FOR CONGRESS","EMIG, ZACH","STATEN ISLAND",49985.9,49985.9,11,C00639575
WV,REP,INCUMBENT,"ALEX MOONEY FOR CONGRESS","MOONEY, ALEXANDER XAVIER",MARTINSBURG,1428347.37,451550.98,02,C00629949
AZ,DEM,INCUMBENT,"TOM O'HALLERAN FOR CONGRESS","O'HALLERAN, TOM",SEDONA,1733927.17,625763.11,01,C00582890
AZ,REP,OPEN,"BOB STUMP FOR CONGRESS","STUMP, BOB",PEORIA,21980,21980,08,C00663419
MD,REP,CHALLENGER,"DAVE THERRIEN FOR CONGRESS, INC.","THERRIEN, DAVID",PASADENA,19458.15,7497.74,04,C00656983
CA,REP,OPEN,"SAREGA FOR CONGRESS 2018","SAREGA, ANDREW","BUENA PARK",35835,35835,39,C00665539
AL,DEM,CHALLENGER,"LEE AUMAN FOR UNITED STATES CONGRESS","AUMAN, JAMES LEE",NAUVOO,21058.07,12272.16,04,C00665182
IN,DEM,CHALLENGER,"TRITCH FOR CONGRESS","TRITCH, COURTNEY","FORT WAYNE",499736.35,188870.57,03,C00648055
NY,DEM,CHALLENGER,"OMAR VAID FOR CONGRESS","VAID, OMAR M",BROOKLYN,202927.85,190721.11,11,C00647313
LA,DEM,CHALLENGER,"COMMITTEE TO ELECT TAMMY SAVOIE","SAVOIE, TAMMY MARIE DR","NEW ORLEANS",39745.04,26781.83,01,C00678326
